Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div
Brendan Donovan,STL,NL Central,L,R,GER,28,2B,NL,Central
Brenton Doyle,COL,NL West,R,R,USA,27,CF,NL,West
Brent Suter,CIN,NL Central,L,L,USA,35,RP,NL,Central
Will Brennan,CLE,AL Central,L,L,USA,27,RF,AL,Central
Brett Wisely,SF,NL West,L,R,USA,26,2B,NL,West
Brendon Little,TOR,AL East,L,L,USA,28,RP,AL,East
Brenan Hanifee,DET,AL Central,R,R,USA,27,RP,AL,Central
Brett de Geus,PHI,NL East,R,R,USA,27,RP,NL,East
Brewer Hicklen,PHI,NL East,R,R,USA,29,CF,NL,East
Brett Harris,ATH,AL West,R,R,USA,27,3B,AL,West
Brent Headrick,NYY,AL East,L,L,USA,27,RP,AL,East
Brice Turang,MIL,NL Central,L,R,USA,25,2B,NL,Central
Beau Brieske,DET,AL Central,R,R,USA,27,RP,AL,Central
Jeff Brigham,AZ,NL West,R,R,USA,33,RP,NL,West
Jhony Brito,SD,NL West,R,R,DOM,27,SP,NL,West
Juan Brito,CLE,AL Central,S,R,DOM,23,SS,AL,Central
Brice Matthews,HOU,AL West,R,R,USA,23,SS,AL,West
Brian Van Belle,TB,AL East,R,R,USA,28,SP,AL,East
Brock Burke,LAA,AL West,L,L,USA,28,RP,AL,West
Connor Brogdon,LAA,AL West,R,R,USA,30,RP,AL,West
Brooks Lee,MIN,AL Central,S,R,USA,24,3B,AL,Central
Brock Stewart,LAD,NL West,L,R,USA,33,RP,NL,West
Hunter Brown,HOU,AL West,R,R,USA,26,SP,AL,West
Trenton Brooks,SD,NL West,L,L,USA,30,LF,NL,West
Brooks Kriske,CHC,NL Central,R,R,USA,31,RP,NL,Central
Vidal Bruján,CHC,NL Central,S,R,DOM,27,3B,NL,Central
Brusdar Graterol,LAD,NL West,R,R,VEN,26,SP,NL,West
Justin Bruihl,TOR,AL East,L,L,USA,28,RP,AL,East
JT Brubaker,NYY,AL East,R,R,USA,31,RP,AL,East
Kris Bryant,COL,NL West,R,R,USA,33,DH,NL,West
Bryan Reynolds,PIT,NL Central,S,R,USA,30,RF,NL,Central
Bryson Stott,PHI,NL East,L,R,USA,27,2B,NL,East
Bryan De La Cruz,NYY,AL East,R,R,DOM,28,LF,AL,East
Bryce Johnson,SD,NL West,S,R,USA,29,CF,NL,West
Bryan Hoeing,SD,NL West,R,R,USA,28,RP,NL,West
Bryan King,HOU,AL West,R,L,USA,28,RP,AL,West
Bryce Elder,ATL,NL East,R,R,USA,26,SP,NL,East
Bryce Jarvis,AZ,NL West,L,R,USA,27,RP,NL,West
Bryan Hudson,MIL,NL Central,L,L,USA,28,RP,NL,Central
Bryce Miller,SEA,AL West,R,R,USA,26,SP,AL,West
Bryan Woo,SEA,AL West,R,R,USA,25,SP,AL,West
Bryan Ramos,CWS,AL Central,R,R,CUB,23,3B,AL,Central
Zach Brzykcy,WSH,NL East,R,R,USA,26,RP,NL,East
Kris Bubic,KC,AL Central,L,L,USA,27,SP,AL,Central
Walker Buehler,BOS,AL East,R,R,USA,31,SP,AL,East
Corbin Burnes,AZ,NL West,R,R,USA,30,SP,NL,West
Ryan Burr,TOR,AL East,R,R,USA,31,RP,AL,East
Nick Burdi,BOS,AL East,R,R,USA,32,RP,AL,East
Sean Burke,CWS,AL Central,R,R,USA,25,SP,AL,Central
Mike Burrows,PIT,NL Central,R,R,USA,25,SP,NL,Central
Juan Burgos,AZ,NL West,R,R,DOM,25,RP,NL,West
Chase Burns,CIN,NL Central,R,R,Italy,22,SP,NL,Central
Michael Busch,CHC,NL Central,L,R,USA,27,1B,NL,Central
Ky Bush,CWS,AL Central,L,L,USA,25,SP,AL,Central
