Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div
Josh Rojas,CWS,AL Central,L,R,USA,31,3B,AL,Central
Roki Sasaki,LAD,NL West,R,R,JPN,23,SP,NL,West
Ryan Rolison,COL,NL West,R,L,USA,28,RP,NL,West
Roman Anthony,BOS,AL East,L,R,USA,21,RF,AL,East
Ronel Blanco,HOU,AL West,R,R,DOM,31,SP,AL,West
Ronny Simon,PIT,NL Central,S,R,DOM,25,2B,NL,Central
Rowdy Tellez,TEX,AL West,L,L,USA,30,1B,AL,West
Ryan O'Hearn,SD,NL West,L,L,USA,32,1B,NL,West
Ryan Thompson,AZ,NL West,R,R,USA,33,RP,NL,West
Ryan Yarbrough,NYY,AL East,R,L,USA,33,SP,AL,East
Ryan Walker,SF,NL West,R,R,USA,29,RP,NL,West
Ryan Vilade,CIN,NL Central,R,R,USA,26,RF,NL,Central
Ryan Weathers,MIA,NL East,R,L,USA,25,SP,NL,East
Ryan Zeferjahn,LAA,AL West,R,R,USA,27,RP,AL,West
Ryne Stanek,NYM,NL East,R,R,USA,34,RP,NL,East
Thomas Saggese,STL,NL Central,R,R,USA,23,2B,NL,Central
Salvador Perez,KC,AL Central,R,R,VEN,35,C,AL,Central
Samad Taylor,SEA,AL West,R,R,USA,27,RF,AL,West
Gary Sánchez,BAL,AL East,R,R,DOM,32,C,AL,East
Anthony Santander,TOR,AL East,S,R,VEN,30,RF,AL,East
Tony Santillan,CIN,NL Central,R,R,USA,28,RP,NL,Central
Winston Santos,TEX,AL West,R,R,DOM,23,SP,AL,West
Tayler Saucedo,SEA,AL West,L,L,USA,32,RP,AL,West
Josh Sborz,TEX,AL West,R,R,USA,31,SP,AL,West
Casey Schmitt,SF,NL West,R,R,USA,26,3B,NL,West
Spencer Schwellenbach,ATL,NL East,R,R,USA,25,SP,NL,East
Tanner Scott,LAD,NL West,R,L,USA,31,RP,NL,West
Victor Scott II,STL,NL Central,L,L,USA,24,CF,NL,Central
Scott Effross,NYY,AL East,R,R,USA,31,RP,AL,East
Seiya Suzuki,CHC,NL Central,R,R,JPN,30,RF,NL,Central
Anthony Seigler,MIL,NL Central,L,S,USA,26,2B,NL,Central
Marcus Semien,TEX,AL West,R,R,USA,34,2B,AL,West
Antonio Senzatela,COL,NL West,R,R,VEN,30,SP,NL,West
Shane McClanahan,TB,AL East,L,L,USA,28,SP,AL,East
Shay Whitcomb,HOU,AL West,R,R,USA,26,LF,AL,West
Shane Smith,CWS,AL Central,R,R,USA,25,SP,AL,Central
Zack Short,HOU,AL West,R,R,USA,30,3B,AL,West
Simeon Woods Richardson,MIN,AL Central,R,R,USA,24,SP,AL,Central
Josh Simpson,MIA,NL East,L,L,USA,27,RP,NL,East
Jose Siri,NYM,NL East,R,R,DOM,30,CF,NL,East
Tarik Skubal,DET,AL Central,R,L,USA,28,SP,AL,Central
Will Smith,LAD,NL West,R,R,USA,30,C,NL,West
Josh Smith,TEX,AL West,L,R,USA,27,SS,AL,West
Blake Snell,LAD,NL West,L,L,USA,32,SP,NL,West
Tyler Soderstrom,ATH,AL West,L,R,USA,23,LF,AL,West
Jorge Soler,LAA,AL West,R,R,CUB,33,RF,AL,West
Sonny Gray,STL,NL Central,R,R,USA,35,SP,NL,Central
José Soriano,LAA,AL West,R,R,DOM,26,SP,AL,West
Edmundo Sosa,PHI,NL East,R,R,PAN,29,2B,NL,East
Spencer Torkelson,DET,AL Central,R,R,USA,25,1B,AL,Central
Spencer Steer,CIN,NL Central,R,R,USA,27,1B,NL,Central
Spencer Strider,ATL,NL East,R,R,USA,26,SP,NL,East
Tyler Stephenson,CIN,NL Central,R,R,USA,28,C,NL,Central
Steven Wilson,CWS,AL Central,R,R,USA,30,RP,AL,Central
Trevor Story,BOS,AL East,R,R,USA,32,SS,AL,East
Hunter Strickland,LAA,AL West,R,R,USA,36,RP,AL,West
Wander Suero,ATL,NL East,R,R,DOM,33,RP,NL,East
Tomoyuki Sugano,BAL,AL East,R,R,JPN,35,SP,AL,East
Dansby Swanson,CHC,NL Central,R,R,USA,31,SS,NL,Central
Trey Sweeney,DET,AL Central,L,R,USA,25,SS,AL,Central
Taijuan Walker,PHI,NL East,R,R,USA,32,SP,NL,East
Fernando Tatis Jr.,SD,NL West,R,R,DOM,26,RF,NL,West
Tim Tawa,AZ,NL West,R,R,USA,26,2B,NL,West
Michael A. Taylor,CWS,AL Central,R,R,USA,34,RF,AL,Central
Taylor Ward,LAA,AL West,R,R,USA,31,LF,AL,West
Tyrone Taylor,NYM,NL East,R,R,USA,31,CF,NL,East
Taylor Walls,TB,AL East,S,R,USA,29,SS,AL,East
Taylor Trammell,HOU,AL West,L,L,USA,27,LF,AL,West
Troy Taylor,SEA,AL West,R,R,USA,23,RP,AL,West
Grant Taylor,CWS,AL Central,R,R,USA,23,RP,AL,Central
José Tena,WSH,NL East,L,R,DOM,24,3B,NL,East
Bryce Teodosio,LAA,AL West,R,L,USA,26,CF,AL,West
Terrin Vavra,BAL,AL East,L,R,USA,28,2B,AL,East
Trent Thornton,SEA,AL West,R,R,USA,31,RP,AL,West
Zack Thompson,STL,NL Central,L,L,USA,27,SP,NL,Central
Blade Tidwell,SF,NL West,R,R,USA,24,SP,NL,West
Tyler Tolbert,KC,AL Central,R,R,USA,27,2B,AL,Central
Tommy Edman,LAD,NL West,S,R,USA,30,2B,NL,West
Travis d'Arnaud,LAA,AL West,R,R,USA,36,C,AL,West
Triston Casas,BOS,AL East,L,R,USA,25,1B,AL,East
Tristan Gray,TB,AL East,L,R,USA,29,3B,AL,East
Tucupita Marcano,SD,NL West,L,R,VEN,25,SS,NL,West
Justin Turner,CHC,NL Central,R,R,USA,40,1B,NL,Central
Trea Turner,PHI,NL East,R,R,USA,32,SS,NL,East
Tyler Wade,SD,NL West,L,R,USA,30,CF,NL,West
Tyler Wells,BAL,AL East,R,R,USA,30,SP,AL,East
Tyler Zuber,MIA,NL East,R,R,USA,30,RP,NL,East
Tyler Black,MIL,NL Central,L,R,CAN,25,3B,NL,Central
José Ureña,MIN,AL Central,R,R,DOM,33,RP,AL,Central
Ramón Urías,HOU,AL West,R,R,MEX,31,3B,AL,West
José Urquidy,DET,AL Central,R,R,MEX,30,SP,AL,Central
Zac Veen,COL,NL West,L,R,USA,23,RF,NL,West
Anthony Veneziano,MIA,NL East,L,L,USA,27,RP,NL,East
Will Vest,DET,AL Central,R,R,USA,30,RP,AL,Central
Victor Vodnik,COL,NL West,R,R,USA,25,RP,NL,West
Victor Mesa Jr.,MIA,NL East,L,L,CUB,23,CF,NL,East
Anthony Volpe,NYY,AL East,R,R,USA,24,SS,AL,East
Will Wagner,SD,NL West,L,R,USA,27,3B,NL,West
Will Warren,NYY,AL East,R,R,USA,26,SP,AL,East
Weston Wilson,PHI,NL East,R,R,USA,30,LF,NL,East
Zack Wheeler,PHI,NL East,L,R,USA,35,SP,NL,East
Carson Whisenhunt,SF,NL West,L,L,USA,24,SP,NL,West
Willi Castro,CHC,NL Central,S,R,PRI,28,LF,NL,Central
Trevor Williams,WSH,NL East,R,R,USA,33,SP,NL,East
Will Wilson,CLE,AL Central,R,R,USA,27,3B,AL,Central
Josh Winckowski,BOS,AL East,R,R,USA,27,RP,AL,East
Grant Wolfram,BAL,AL East,L,L,USA,28,RP,AL,East
Jake Woodford,AZ,NL West,R,R,USA,28,RP,NL,West
Yoshinobu Yamamoto,LAD,NL West,R,R,JPN,26,SP,NL,West
Christian Yelich,MIL,NL Central,L,R,USA,33,LF,NL,Central
Yerry De los Santos,NYY,AL East,R,R,DOM,27,RP,AL,East
Yoán Moncada,LAA,AL West,S,R,CUB,30,3B,AL,West
Yohan Ramírez,PIT,NL Central,R,R,DOM,30,RP,NL,Central
Yosver Zulueta,CIN,NL Central,R,R,CUB,27,RP,NL,Central
Josh Walker,PHI,NL East,L,L,USA,30,RP,NL,East
Ryan Noda,BAL,AL East,L,L,USA,29,1B,AL,East
Adrian Morejon,SD,NL West,L,L,CUB,26,RP,NL,West
Jose Trevino,CIN,NL Central,R,R,USA,32,C,NL,Central
Steven Kwan,CLE,AL Central,L,L,USA,27,LF,AL,Central
Blake Treinen,LAD,NL West,R,R,USA,37,RP,NL,West
Ian Hamilton,NYY,AL East,R,R,USA,30,RP,AL,East
Adrian Del Castillo,AZ,NL West,L,R,USA,25,C,NL,West
Josiah Gray,WSH,NL East,R,R,USA,27,SP,NL,East
Andrew McCutchen,PIT,NL Central,R,R,USA,38,RF,NL,Central
Jake Burger,TEX,AL West,R,R,USA,29,1B,AL,West
Blake Walston,AZ,NL West,L,L,USA,24,SP,NL,West
Jake McCarthy,AZ,NL West,L,L,USA,28,CF,NL,West
Grant McCray,SF,NL West,L,R,USA,24,CF,NL,West
