Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Sean Reynolds,SD,NL West,L,R,USA,27,RP,NL,West,34.17074981440242
Logan Webb,SF,NL West,R,R,USA,28,SP,NL,West,34.17223459539718
Shawn Dubin,HOU,AL West,R,R,USA,29,RP,AL,West,34.173719376391986
Brian Van Belle,TB,AL East,R,R,USA,28,SP,AL,East,34.19599109131404
Joey Gerber,TB,AL East,R,R,USA,28,SP,AL,East,34.19599109131404
Michael Grove,LAD,NL West,R,R,USA,28,SP,NL,West,34.19747587230883
Erik Miller,SF,NL West,L,L,USA,27,RP,NL,West,34.20489977728287
Bryce Jarvis,AZ,NL West,L,R,USA,27,RP,NL,West,34.2108389012621
Andrew Saalfrank,AZ,NL West,L,L,USA,27,RP,NL,West,34.21232368225688
Kyle Backhus,AZ,NL West,L,L,USA,27,RP,NL,West,34.21232368225688
Kyle Bradish,BAL,AL East,R,R,USA,28,SP,AL,East,34.21974758723088
Collin Snider,SEA,AL West,R,R,USA,29,RP,AL,West,34.23311061618411
Caleb Ferguson,SEA,AL West,R,L,USA,29,RP,AL,West,34.242019302152954
Landen Roupp,SF,NL West,R,R,USA,26,SP,NL,West,34.24647364513734
Brandon Pfaadt,AZ,NL West,R,R,USA,26,SP,NL,West,34.253897550111354
Jeff Criswell,COL,NL West,R,R,USA,26,SP,NL,West,34.25686711210098
Matt Waldron,SD,NL West,R,R,USA,28,SP,NL,West,34.25983667409058
Gavin Stone,LAD,NL West,R,R,USA,26,SP,NL,West,34.26132145508539
Nick Frasso,LAD,NL West,R,R,USA,26,SP,NL,West,34.26132145508539
River Ryan,LAD,NL West,R,R,USA,26,SP,NL,West,34.26132145508539
Casey Mize,DET,AL Central,R,R,USA,28,SP,AL,Central,34.276169265033396
Brady Singer,CIN,NL Central,R,R,USA,28,SP,NL,Central,34.291017074981475
Tarik Skubal,DET,AL Central,R,L,USA,28,SP,AL,Central,34.293986636971056
Chris Murphy,BOS,AL East,L,L,USA,27,RP,AL,East,34.32071269487752
Paxton Schultz,TOR,AL East,L,R,USA,27,RP,AL,East,34.341499628804776
Louis Varland,TOR,AL East,L,R,USA,27,RP,AL,East,34.341499628804776
James McArthur,KC,AL Central,R,R,USA,28,SP,AL,Central,34.43652561247216
Stephen Kolek,KC,AL Central,R,R,USA,28,SP,AL,Central,34.43652561247216
Brent Headrick,NYY,AL East,L,L,USA,27,RP,AL,East,34.44394951744617
Austin Cox,ATL,NL East,L,L,USA,28,RP,NL,East,34.45285820341501
Brock Burke,LAA,AL West,L,L,USA,28,RP,AL,West,34.455827765404585
Bailey Falter,KC,AL Central,R,L,USA,28,SP,AL,Central,34.45582776540462
Daniel Lynch IV,KC,AL Central,L,L,USA,28,RP,AL,Central,34.52264291017073
Reese Olson,DET,AL Central,R,R,USA,26,SP,AL,Central,34.5894580549369
Kody Funderburk,MIN,AL Central,L,L,USA,28,RP,AL,Central,34.61321455085375
Tim Herrin,CLE,AL Central,L,L,USA,28,RP,AL,Central,34.66666666666666
Codi Heuer,DET,AL Central,R,R,USA,29,RP,AL,Central,34.67557535263549
Austin Warren,NYM,NL East,R,R,USA,29,RP,NL,East,34.74536005939125
Calvin Faucher,MIA,NL East,R,R,USA,29,RP,NL,East,34.79138827023016
Slade Cecconi,CLE,AL Central,R,R,USA,26,SP,AL,Central,34.876020786933935
Tanner Bibee,CLE,AL Central,R,R,USA,26,SP,AL,Central,34.876020786933935
Eli Morgan,CHC,NL Central,R,R,USA,29,RP,NL,Central,34.88344469190797
Mason Montgomery,TB,AL East,L,L,USA,25,RP,AL,East,34.88938381588715
Joe Rock,TB,AL East,L,L,USA,25,RP,AL,East,34.88938381588715
Logan Allen,CLE,AL Central,R,L,USA,26,SP,AL,Central,34.901262063845614
Jordan Wicks,CHC,NL Central,L,L,USA,25,RP,NL,Central,34.90571640683002
Colin Holderman,PIT,NL Central,R,R,USA,29,RP,NL,Central,34.95025983667409
Chase Silseth,LAA,AL West,R,R,USA,25,SP,AL,West,34.96065330363771
Braxton Ashcraft,PIT,NL Central,L,R,USA,25,RP,NL,Central,34.969561989606554
Jack Leiter,TEX,AL West,R,R,USA,25,SP,AL,West,34.99925760950259
Kumar Rocker,TEX,AL West,R,R,USA,25,SP,AL,West,34.99925760950259
Richard Fitts,BOS,AL East,R,R,USA,25,SP,AL,East,35.00668151447662
Hunter Dobbins,BOS,AL East,R,R,USA,25,SP,AL,East,35.00668151447662
Joe Boyle,TB,AL East,R,R,USA,25,SP,AL,East,35.063103192279144
AJ Blubaugh,HOU,AL West,R,R,USA,25,SP,AL,West,35.07795100222718
Spencer Arrighetti,HOU,AL West,R,R,USA,25,SP,AL,West,35.07795100222718
Tommy Henry,AZ,NL West,L,L,USA,28,RP,NL,West,35.11210096510766
Bryan Woo,SEA,AL West,R,R,USA,25,SP,AL,West,35.172976985894586
Michael Kopech,LAD,NL West,R,R,USA,29,RP,NL,West,35.19524870081662
Ben Brown,CHC,NL Central,R,R,USA,25,SP,NL,Central,35.20118782479586
Jack Neely,CHC,NL Central,R,R,USA,25,SP,NL,Central,35.20118782479586
Spencer Schwellenbach,ATL,NL East,R,R,USA,25,SP,NL,East,35.22494432071271
Hunter Greene,CIN,NL Central,R,R,USA,25,SP,NL,Central,35.23533778767633
Ryan Walker,SF,NL West,R,R,USA,29,RP,NL,West,35.23682256867113
Tristan Beck,SF,NL West,R,R,USA,29,RP,NL,West,35.23682256867113
Mike Burrows,PIT,NL Central,R,R,USA,25,SP,NL,Central,35.278396436525604
JoJo Romero,STL,NL Central,L,L,USA,28,RP,NL,Central,35.28582034149963
Evan Sisk,PIT,NL Central,L,L,USA,28,RP,NL,Central,35.30957683741646
Justin Wrobleski,LAD,NL West,L,L,USA,25,RP,NL,West,35.315515961395676
Chase Shugart,PIT,NL Central,L,R,USA,28,RP,NL,Central,35.318485523385306
