Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Brendan Donovan,STL,NL Central,L,R,GER,28,2B,NL,Central,97.94803266518194
Brenton Doyle,COL,NL West,R,R,USA,27,CF,NL,West,49.34521158129178
Brent Suter,CIN,NL Central,L,L,USA,35,RP,NL,Central,64.73199703043808
Will Brennan,CLE,AL Central,L,L,USA,27,RF,AL,Central,54.068299925760996
Brett Wisely,SF,NL West,L,R,USA,26,2B,NL,West,54.8567186340015
Brendon Little,TOR,AL East,L,L,USA,28,RP,AL,East,35.51744617668895
Brenan Hanifee,DET,AL Central,R,R,USA,27,RP,AL,Central,30.843355605048245
Brett de Geus,PHI,NL East,R,R,USA,27,RP,NL,East,30.920564216778008
Brewer Hicklen,PHI,NL East,R,R,USA,29,CF,NL,East,55.42538975501115
Brett Harris,ATH,AL West,R,R,USA,27,3B,AL,West,48.89829250185598
Brent Headrick,NYY,AL East,L,L,USA,27,RP,AL,East,34.44394951744617
Brice Turang,MIL,NL Central,L,R,USA,25,2B,NL,Central,56.51224944320718
Beau Brieske,DET,AL Central,R,R,USA,27,RP,AL,Central,30.843355605048245
Jeff Brigham,AZ,NL West,R,R,USA,33,RP,NL,West,50.46028210838902
Jhony Brito,SD,NL West,R,R,DOM,27,SP,NL,West,45.08685968819599
Juan Brito,CLE,AL Central,S,R,DOM,23,SS,AL,Central,136.24350408314783
Brice Matthews,HOU,AL West,R,R,USA,23,SS,AL,West,76.5033407572383
Brian Van Belle,TB,AL East,R,R,USA,28,SP,AL,East,34.19599109131404
Brock Burke,LAA,AL West,L,L,USA,28,RP,AL,West,34.455827765404585
Connor Brogdon,LAA,AL West,R,R,USA,30,RP,AL,West,36.42464736451373
Brooks Lee,MIN,AL Central,S,R,USA,24,3B,AL,Central,84.74832962138093
Brock Stewart,LAD,NL West,L,R,USA,33,RP,NL,West,55.27542687453602
Hunter Brown,HOU,AL West,R,R,USA,26,SP,AL,West,33.416481069042334
Trenton Brooks,SD,NL West,L,L,USA,30,LF,NL,West,63.94506310319229
Brooks Kriske,CHC,NL Central,R,R,USA,31,RP,NL,Central,41.30215293244249
Vidal Bruján,CHC,NL Central,S,R,DOM,27,3B,NL,Central,91.69858945805494
Brusdar Graterol,LAD,NL West,R,R,VEN,26,SP,NL,West,50.71269487750561
Justin Bruihl,TOR,AL East,L,L,USA,28,RP,AL,East,35.51744617668895
JT Brubaker,NYY,AL East,R,R,USA,31,RP,AL,East,42.844840386043074
Kris Bryant,COL,NL West,R,R,USA,33,DH,NL,West,86.31477357089828
Bryan Reynolds,PIT,NL Central,S,R,USA,30,RF,NL,Central,79.63919821826285
Bryson Stott,PHI,NL East,L,R,USA,27,2B,NL,East,52.96213808463253
Bryan De La Cruz,NYY,AL East,R,R,DOM,28,LF,AL,East,70.60727542687458
Bryce Johnson,SD,NL West,S,R,USA,29,CF,NL,West,77.20415738678548
Bryan Hoeing,SD,NL West,R,R,USA,28,RP,NL,West,32.32368225686713
Bryan King,HOU,AL West,R,L,USA,28,RP,AL,West,31.738678544914585
Bryce Elder,ATL,NL East,R,R,USA,26,SP,NL,East,33.89012620638458
Bryce Jarvis,AZ,NL West,L,R,USA,27,RP,NL,West,34.2108389012621
Bryan Hudson,MIL,NL Central,L,L,USA,28,RP,NL,Central,35.3214550853749
Bryce Miller,SEA,AL West,R,R,USA,26,SP,AL,West,33.43875278396437
Bryan Woo,SEA,AL West,R,R,USA,25,SP,AL,West,35.172976985894586
Bryan Ramos,CWS,AL Central,R,R,CUB,23,3B,AL,Central,116.09799554565704
Zach Brzykcy,WSH,NL East,R,R,USA,26,RP,NL,East,31.080920564216754
Kris Bubic,KC,AL Central,L,L,USA,27,SP,AL,Central,37.39569413511513
Walker Buehler,BOS,AL East,R,R,USA,31,SP,AL,East,44.28953229398663
Corbin Burnes,AZ,NL West,R,R,USA,30,SP,NL,West,38.76614699331848
Ryan Burr,TOR,AL East,R,R,USA,31,RP,AL,East,42.760207869339276
Nick Burdi,BOS,AL East,R,R,USA,32,RP,AL,East,45.25909428359318
Sean Burke,CWS,AL Central,R,R,USA,25,SP,AL,Central,36.50779510022272
Mike Burrows,PIT,NL Central,R,R,USA,25,SP,NL,Central,35.278396436525604
Juan Burgos,AZ,NL West,R,R,DOM,25,RP,NL,West,43.711952487008176
Chase Burns,CIN,NL Central,R,R,Italy,22,SP,NL,Central,103.73273942093547
Michael Busch,CHC,NL Central,L,R,USA,27,1B,NL,Central,55.088344469190794
Ky Bush,CWS,AL Central,L,L,USA,25,SP,AL,Central,40.45137342242027
Lawrence Butler,ATH,AL West,L,R,USA,25,RF,AL,West,55.90645879732739
José Buttó,SF,NL West,R,R,VEN,27,RP,NL,West,46.35634743875278
Byron Buxton,MIN,AL Central,R,R,USA,31,CF,AL,Central,65.69561989606537
Oswaldo Cabrera,NYY,AL East,S,R,VEN,26,3B,AL,East,95.60059391239794
José Caballero,NYY,AL East,R,R,PAN,28,SS,AL,East,88.10987379361546
Génesis Cabrera,PIT,NL Central,L,L,DOM,28,RP,NL,Central,48.52264291017077
Edward Cabrera,MIA,NL East,R,R,DOM,27,SP,NL,East,45.242761692650355
Jean Cabrera,PHI,NL East,R,R,VEN,23,SP,NL,East,73.06458797327392
Cade Smith,CLE,AL Central,R,R,CAN,26,RP,AL,Central,52.63548626577582
Cade Povich,BAL,AL East,L,L,USA,25,SP,AL,East,38.92947290274688
Cade Gibson,MIA,NL East,L,L,USA,27,RP,NL,East,33.70452858203412
Cade Horton,CHC,NL Central,R,R,USA,23,SP,NL,Central,50.23904974016334
Caden Dana,LAA,AL West,L,R,USA,21,RP,AL,West,68.10690423162589
Cade Cavalli,WSH,NL East,R,R,USA,26,SP,NL,East,34.0846325167038
Jac Caglianone,KC,AL Central,L,L,USA,22,RF,AL,Central,98.6711210096512
Owen Caissie,CHC,NL Central,L,R,CAN,23,RF,NL,Central,131.76095025983673
