Name,possible_num_remaining_players
Slade Cecconi,[112  22  21 ...   6  20  21]
Cedric Mullins,[166   4  19 ...  44   3   4]
Ceddanne Rafaela,[ 82  80 240 ...   7   3   1]
Eric Cerantola,[181  32  37 ...   9  32  28]
César Salazar,[235  38 148 ...  49  46  45]
Chas McCormick,[158  16  61 ...  46  34  62]
Charlie Morton,[205  45  52 ...  18  45  48]
Chad Green,[ 5 34 22 ... 32 32 32]
Chase Meidroth,[184  46 110 ...   6  46   4]
Chandler Simpson,[ 61  68 181 ...   5   3   1]
Chase Shugart,[69 14 87 ... 28  5 36]
Chase Lee,[96 13 51 ... 14 14 21]
Chase Silseth,[109  25  23 ...   8  39  41]
Chad Patrick,[80 32 39 ... 11 35 37]
Chad Stevens,[137  29  86 ...  48  48  48]
Chase Dollander,[105  58  48 ...   2  17   5]
Chase Petty,[118  65  77 ...   4  65  16]
Chayce McDermott,[35 33 39 ...  7 19 23]
Tsung-Che Cheng,[200  84 252 ...   9  84   7]
Jazz Chisholm Jr.,[ 18  52 216 ...  39  27  23]
Jackson Chourio,[244  98 329 ...  98   8   8]
Chris Taylor,[38 48 19 ... 74  6 10]
Christian Vázquez,[44 70 31 ... 70 70 57]
Christian Walker,[38 56 18 ... 75 75 93]
Christopher Morel,[ 56  47 177 ...  25  25  34]
Chris Martin,[177  28 119 ...  54  54  89]
Chris Sale,[188   6  20 ...  26  58  66]
Chris Devenski,[22 10  5 ... 47 47 73]
Chris Flexen,[27  7 46 ... 38 38 60]
Christian Encarnacion-Strand,[107  49 150 ...  36  49  40]
Chris Paddack,[101  27  29 ...  13  27  30]
Christian Koss,[ 81  47 131 ...  13  11   1]
Chris Roycroft,[67 14 80 ... 28  5 43]
Christian Moore,[245  57 160 ...   5  89  15]
Chris Murphy,[21 20 90 ... 22 13 16]
Christian Montes De Oca,[ 87  31 124 ...   3   4  13]
Christian Scott,[100   4   8 ...  13  28  45]
Marc Church,[115  25  70 ...   5  39   8]
Clayton Kershaw,[124  63  69 ...   8  18  14]
Emmanuel Clase,[122  13  78 ...  27  15  34]
Clay Holmes,[47  3  3 ... 19 47 66]
Taylor Clarke,[33  8  8 ... 26 26 37]
Clarke Schmidt,[ 6 45 55 ... 15 20 24]
Jonatan Clase,[ 95 102 302 ...  12  68  60]
Denzel Clarke,[217  36 140 ...  36   5   5]
Ernie Clement,[ 23  53 155 ...  36  25  30]
Kody Clemens,[141  30 103 ...  27  30  22]
Garrett Cleavinger,[14  7 41 ... 23 23 36]
Coby Mayo,[ 63  76 212 ...  11  51  13]
Codi Heuer,[114  18  61 ...  21  12  30]
Cody Poteet,[15  7 41 ... 24 24 35]
Cody Freeman,[186  45 112 ...   5  72   6]
Colt Keith,[222  50 147 ...  10  50  11]
Colton Cowser,[ 54  47 162 ...  21  37  19]
Cole Sulser,[  4  35 166 ...  37  37  43]
Colin Holderman,[ 71  29 100 ...  30  21  46]
Collin Snider,[97 19 72 ... 26 23 46]
Cole Sands,[105  12  48 ...  19   4  28]
Colin Rea,[15 67 83 ... 23 67 73]
Isaac Collins,[117  46 161 ...  46  13 161]
Cole Ragans,[113  22  21 ...  11  13  23]
Cole Young,[254  57 170 ...   5  86  11]
Cole Henry,[86  7 23 ... 21 21 39]
Colin Selby,[22 20 83 ... 22 15 21]
Colson Montgomery,[220  50 148 ...  10  50  11]
Cole Winn,[95 18 64 ... 18 31 39]
Colby Thomas,[  9  43 116 ...   4  68   8]
Colton Gordon,[103  21  27 ...  15  33  39]
Willson Contreras,[ 6 21 74 ... 84 84 91]
William Contreras,[134  50 155 ...  50  38  50]
Connor Joe,[ 3 20 16 ... 62 62 62]
Connor Wong,[ 26  53 155 ...  36  25  26]
Connor Norby,[148  13  43 ...  31  56  38]
Griffin Conine,[132  10  37 ...  41  13  35]
Connor Seabold,[ 23  28 113 ...  24  12  25]
Connor Kaiser,[ 83  41 142 ...   5   2  12]
Luis Contreras,[144  21  94 ...  29  23  60]
Connor Thomas,[64 16 80 ... 27 19 32]
Connor Phillips,[ 78  37 108 ...   7  36  10]
Cooper Hummel,[211  17  68 ...  52  42 211]
